"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	4901321	3565110	3523509	6042933	4938525	6725407	5202837	3239464	2134711	5583563	4059480	6555399	4276541	5305058	4949663	7998120	4503593	4996002	4022964	5908227	5169345	6905976	5174902	6205948	3124305	5012476	2888514	5410563	7220924	7729066	5840876	11040048	5351385	1549965	7386830	10096488	9088090	8956481	6355226	5940089	4599027	9856577	5847228	6814208	4863302	6685879	4457283	8656025	7876488	8178889	6328759	9378367	8384391	10103523
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	4125282	3400516	3420031	4812937	3439931	4580624	4405936	3429528	2926728	4307325	3753092	4436100	2429720	3539434	3117720	4721986	2461710	3547788	3587864	3741378	3609385	3878827	3938122	4591609	2717115	3801456	3012751	3499054	4591484	5753469	2465671	4486507	2678534	939858	2714749	4669873	3804890	3799698	2960834	2406985	2411723	3439980	4063842	4011678	2537783	4411838	3193188	4998357	3356048	3882601	2724056	3586368	3126867	4096959
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)"	1835679	1357368	1501175	2084700	1910420	2364901	2153346	1340528	1486565	2127731	1868301	2357373	852846	1258850	1490493	2118855	1041829	1237609	1541461	1957342	1930472	2772545	1918028	2208800	1168297	2055923	1191590	2092161	2666479	2784887	1362473	2834991	1113024	451941	1617664	2030016	1999353	1797233	1734615	1273836	1199281	2114144	1792498	2455868	1622288	2403892	1432546	2668841	2146604	2385082	1656034	2558218	2595880	3018215
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	14416044	11534689	10529675	13651384	9312734	15250474	17836384	8591813	9131383	15489751	12277272	12538319	7925663	8956315	10857512	15770494	7989002	10060388	9696122	16388706	14511133	19089540	13064114	19187930	11326610	18094890	7862533	13319660	17292440	19500664	15135267	27071476	9040506	3248289	17479578	26383108	14394054	19670140	15918415	14070095	11791824	23636316	21823790	23870504	13933199	21702100	10199031	21436972	21573928	27330658	16321140	27005352	27774248	36534516
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*"	854258	670681	928425	1218163	1066275	1684025	850686	769448	443960	879446	928487	1275004	841994	1003047	812622	1397017	682752	842366	540781	1045672	929030	939398	945244	1080372	433154	674927	455363	1070776	1358391	1387348	690771	1923963	752682	203832	1229859	1393796	1034230	1087251	1069356	915495	740695	1846306	650474	1155473	603251	959158	703862	1416449	1202832	1416321	1003626	1203905	1302807	1674106
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	26030258	20128440	21151628	29070756	24830764	31271596	33793608	21301296	16084415	27651118	19958660	37356904	16063885	24038330	23784146	36775792	14682381	25217238	24099956	31474114	26779592	32776766	28851108	35313240	19797704	35625552	16094962	24728304	43947236	54627708	34601736	70804488	27001876	8165406	39958392	55300808	40600716	44815896	36976680	29420338	28099234	57147708	50642404	60203412	28682046	49755816	25933300	56503296	43634768	69269936	46907000	60700872	79613232	93391072
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)"	2831401	2349119	2249782	3944639	2425557	3591054	3631794	1930490	1228837	3406346	2495576	4463304	2860621	3456232	2723415	4423737	2181878	2879789	2274061	3185469	2461385	3365756	2634911	2968771	1668183	3020859	1727628	2758574	3803587	4991073	3817316	6252693	2762097	866586	3589265	5327303	4139263	4145510	3678851	2991214	2556900	5199487	2686050	3516191	1580532	2768105	1796558	3371006	3411642	2553277	4143269	5127441	4443650	5685657
"1-stearoyl-2-oleoyl-GPI (18:0/18:1)*"	530981	388864	352728	581226	410760	573550	570379	424003	319102	512101	406367	692846	283905	389458	296265	449216	231279	392550	476647	522664	406591	509747	525564	609858	447058	671236	506152	557634	795901	1027960	480272	792537	424045	134847	443635	738156	483227	486127	455842	450560	398442	640891	690266	664027	379264	646292	481215	765785	665385	635467	811504	981183	860874	1139107
"1-stearoyl-2-oleoyl-GPS (18:0/18:1)"	10682115	6696311	7425478	12410044	10842701	11636894	12699488	6114077	6583254	12468490	9393128	14588450	5378561	9018226	8932306	11997050	6313039	8895150	8472619	9629209	10395077	12145097	10186744	11081739	6080712	11479834	5432017	9226797	13644269	14713317	9941706	18727268	7384393	3553881	12402745	16495486	11612852	11492760	12111110	7886279	8481314	18299080	10483805	13138817	8232975	13276216	7706659	14913376	13300253	13734758	13076992	19372920	19227508	22627792
"1-stearoyl-GPC (18:0)"	2931528	3644697	2827025	3125928	2323753	2786681	2934137	3233303	3545678	3115478	2852771	2972643	3297820	3244231	3274815	3085756	3409582	2764421	4261751	4866647	3671202	3784886	2691570	3076886	4617997	4318825	4255895	5447668	5387166	4016579	6498480	7221785	6146818	1317918	7443150	7500656	4727409	4609164	6230538	4605830	6996243	7031163	5271143	6151472	5933691	4463182	5293102	5303968	8010418	8027376	10778791	11821314	14481902	13161078
"1-stearoyl-GPE (18:0)"	301508	299662	257124	265785	290432	340508	277068	235596	271373	336292	330531	327594	452700	504678	490304	522353	464170	429336	496428	583907	462095	367538	408985	409104	453349	553144	417139	482314	535962	449318	1096159	1292550	1122407	283879	1379972	1423139	902313	837531	1154290	879714	1196996	1658209	648258	622783	652200	607669	620311	594659	1531131	1382727	1983533	2155599	2390362	2322401
"1-stearoyl-GPG (18:0)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	127961	128011	117923	NA	107027	176891	59096	71744	138701	NA	79965	124589	NA	NA	48168	NA	NA	NA	90708	117124	161401	151839	263738	139860
"1-stearoyl-GPI (18:0)"	315408	710906	640028	526553	559550	659205	262275	607802	959033	175625	488203	425136	629324	752652	397487	556944	507502	705884	899863	862629	984061	856433	604304	1229886	933293	1280983	1377791	524969	1282512	1843292	1690757	1014358	766391	201715	1239777	1619567	943153	985523	1631041	632884	709085	1404848	1749484	2519463	1763008	1887583	1967236	2201041	1750182	1788617	2622145	2018318	3542585	2536974
"1-stearoyl-GPS (18:0)*"	120189	243347	249320	210333	221582	264780	75131	197212	411936	83684	193756	123099	286349	466357	249300	364104	239525	475054	251904	339896	348431	347547	173535	423948	268364	420152	419815	111983	384195	588675	684335	492973	421381	NA	613608	897094	490942	487315	683355	341857	339840	670415	433036	659672	467584	564981	501583	583794	747059	771393	1134190	814895	1408033	1096550
"2'-deoxyadenosine"	113646	229617	166044	116017	65411	106243	221566	256885	207721	169310	84621	82289	415334	502449	171214	362345	197843	405824	183216	141021	150304	185158	78855	93599	270591	143957	201244	159202	164089	332796	173266	209129	423070	38004	191082	215289	198253	367902	125225	67646	167404	163246	101094	104402	66665	175682	71594	65029	378685	171581	422216	227010	221690	501483
"2'-deoxycytidine"	NA	41107	51722	25587	NA	NA	NA	75389	NA	26309	NA	NA	57811	174317	52524	105501	47924	120080	NA	35627	35046	NA	NA	NA	39889	29085	NA	NA	NA	66180	NA	47484	104041	NA	55938	58081	57197	101194	NA	28729	34519	43805	NA	NA	NA	45522	NA	NA	90511	65904	113899	53182	75505	114506
"2-aminoadipate"	148826	123336	NA	108611	114443	NA	110927	NA	103234	NA	116926	116091	185815	199868	163050	217945	178237	195886	126051	131193	NA	NA	NA	117918	NA	142112	128622	NA	131623	111948	293727	295769	277724	NA	318258	267416	158287	222965	329732	67536	330949	366631	140003	132548	117200	147661	131366	141336	302349	259251	352067	347942	494422	417143
"2-hydroxyadipate"	NA	176841	222086	327663	184571	NA	509721	NA	NA	336339	171133	486983	283331	137724	744451	390725	NA	783405	278112	669175	346921	NA	146298	556401	286858	979099	NA	NA	808360	882540	360433	363628	379976	NA	346191	651474	216626	289773	539518	NA	337757	481052	383441	329885	350806	867176	306918	523725	593422	494304	892229	781543	1244460	659881
"2-hydroxyglutarate"	22457080	16363621	15104212	20768068	16063764	15992841	21026124	16275582	17173620	19367024	16411259	17427200	26469520	25556118	23981904	29677014	19747422	22263356	24941264	31045072	21344072	21251496	23591870	23030390	23081172	26892784	23647744	23054188	24277648	22794428	57676408	54545804	57005516	13109942	52564068	59967984	36522080	36669372	61228504	30428908	53984504	60305840	45691584	38018116	37449012	35876256	36301012	34637252	75295000	69305144	93026344	126629944	111938064	99371704
"2-methylbutyrylcarnitine (C5)"	2143549	2309716	2409042	2037674	1823264	2047492	2057833	2427245	1990948	1557241	1651320	2026579	3874374	4480279	3348356	4535999	3208395	4108823	2438615	2198336	2354681	2327202	2255263	1855310	2608815	2003254	1716606	1229277	2705680	2487531	5147796	5359569	6818953	1071037	5481233	4921045	4233813	5341842	5409827	2760005	5634093	5993395	3279824	2479290	2993203	3106983	2432347	2352098	9053805	7113629	12397679	10256729	11191129	11582128
"2-methylcitrate/homocitrate"	201890	200142	175684	184987	209502	162461	221002	188706	172408	210681	262990	147706	186414	216274	177717	177264	193468	152911	218473	205214	179711	160794	188130	132084	198975	207930	159793	151139	208696	211722	257075	195318	218843	108968	230066	192247	135879	209258	181128	150988	266798	232665	196103	184438	170000	182928	241252	268539	236770	254327	283736	305929	330285	270237
"2-palmitoyl-GPC (16:0)*"	209090	428056	315906	398670	298556	282151	260900	340402	453075	208279	263809	201771	309348	383575	324686	342136	194167	348964	349342	440848	362672	338232	206703	316033	350552	519735	463021	359711	435315	510974	529970	364975	363579	43424	462249	551966	273953	296637	513750	313485	378623	604631	416401	450064	475837	384806	377366	384119	525067	510886	748237	665528	894093	796400
"2-stearoyl-GPE (18:0)*"	NA	NA	88736	60684	NA	NA	NA	NA	54236	NA	NA	58440	81648	109911	104185	107518	NA	125302	67548	139534	86409	76658	NA	71691	84848	104627	92332	NA	174512	78726	279747	283253	153522	NA	311994	410955	182410	170405	384834	205747	345041	385392	117690	162302	168545	173875	158902	181234	416728	373362	556202	574170	676383	707384
"3-(4-hydroxyphenyl)lactate"	118523	110148	95201	81615	164805	102109	83687	126731	121415	110526	143882	73499	105229	118439	146689	142168	157573	138543	129278	142688	132392	171280	135013	136110	149384	106523	144473	139975	154597	128894	156787	195564	211793	79652	173522	179781	160098	137742	169420	137905	205228	207878	156337	203653	175372	206402	181680	144226	200727	175188	228999	197546	254280	247699
"3-hydroxy-3-methylglutarate"	19158120	14312985	15521090	20809492	14928894	15886526	18358698	14379839	17195892	18637562	16324297	18213452	17668752	15916509	17587678	20833414	14796232	14856613	23934044	29033518	22742968	20825992	22640202	22200876	21698700	25928568	27478240	27664828	24128816	23791940	13196431	13364446	15473678	3502458	12820047	14221645	11562527	11214588	14357695	6890169	13420861	15363637	20638264	15389981	16863286	17958428	16672001	15954385	14776451	13258744	16105702	20210494	21883260	17620972
"3-hydroxybutyrylcarnitine (1)"	NA	NA	94501	NA	NA	NA	119195	75595	114855	NA	NA	70852	177995	130820	115629	247803	NA	256776	NA	NA	89605	NA	37221	83285	231089	NA	NA	NA	NA	84316	117396	120575	291058	NA	136831	131284	NA	246342	127551	NA	NA	NA	163117	131841	NA	168077	45748	NA	264490	99476	426113	188832	212070	394027
"3-hydroxybutyrylcarnitine (2)"	NA	NA	NA	NA	NA	NA	NA	NA	118606	NA	NA	75226	156370	NA	NA	149587	105771	90435	NA	NA	NA	NA	86325	NA	163670	NA	NA	NA	NA	NA	284222	275685	346217	NA	180083	185204	NA	110084	142516	NA	NA	NA	207273	155147	NA	NA	NA	NA	326159	189805	575565	347884	491367	547740
"3-hydroxydecanoate"	71045	112345	81125	92260	78425	83380	NA	75930	81836	NA	69469	NA	NA	112701	NA	64671	79247	70390	NA	106167	59477	62884	99631	62267	NA	92628	98316	NA	123365	87976	55752	117332	81550	51468	161573	NA	80923	124062	NA	NA	94166	NA	89858	86424	85652	98598	117441	119145	71901	79843	NA	NA	120398	63804
"3-methyl-2-oxobutyrate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196051	264391	167289	NA	NA	187952	NA	234192	139070	NA	182436	NA	NA	NA	NA	NA	189686	NA	455527	370218	297661	NA	318777	346340	182089	298827	240376	NA	387477	366583	NA	136800	92872	211384	239907	227949	459311	363519	471598	635365	668838	632028
"3-methyl-2-oxovalerate"	NA	NA	202392	223168	NA	NA	NA	NA	NA	NA	174823	NA	346665	269840	335288	363458	307768	265343	264999	NA	NA	NA	174679	136373	202629	172135	NA	142371	NA	224828	653370	602314	537905	NA	492736	648000	439068	242607	513858	180922	584814	652263	329290	326270	293157	274193	229434	159316	676992	512646	937932	956251	813300	1066147
"3-methylhistidine"	NA	NA	NA	NA	NA	NA	48078	NA	NA	NA	NA	NA	113387	71785	81222	NA	NA	84909	NA	NA	NA	44477	NA	NA	NA	NA	NA	NA	62976	60663	148280	223773	NA	NA	112146	114485	112166	105742	81586	NA	272987	98963	71584	NA	NA	NA	40548	58596	507468	184195	542019	366813	700238	790821
"3-phosphoglycerate"	1262003	669741	1101433	1106694	1219436	1185710	1108122	488788	1082965	1134139	1147204	1133515	1491744	1375829	1768967	1997790	1205333	1135365	1417084	1542937	1430497	1306333	1400951	1433738	1362985	1433568	1376315	1360350	1370526	1309108	2483358	2106392	2884342	849660	2937024	2586678	1988321	1957404	2552175	1588749	3184744	2838756	1854742	1629063	2135526	1896901	1866712	1715060	2239953	1869206	2917559	2840224	3425469	2919847
"3-ureidopropionate"	69513	100493	81420	52517	110527	112843	108041	127126	87857	93288	118958	56241	168961	257812	130507	194941	185155	203978	156051	136068	144073	152423	112934	157556	226903	116054	139854	158289	211423	226770	469306	477250	813439	106741	482251	529643	296687	428691	439187	396491	700885	808559	491167	456617	459092	427691	434535	326351	823214	444862	1484719	1439309	845918	1452226
"4-acetamidobutanoate"	267130	621417	535501	366806	370457	533644	708950	581584	562717	559655	580047	362366	585369	670515	439343	846341	616662	898683	701459	532984	633843	312165	NA	400086	821299	423902	565357	324043	568541	701639	NA	422772	1040648	NA	614650	943232	707950	847440	744350	442080	711492	875643	693409	648390	786900	593531	549538	554429	940957	509072	1210686	805734	771616	1040927
"4-guanidinobutanoate"	3559581	3782803	3420382	3295998	3215944	2900209	3434851	3260282	3539341	3115666	5042314	4533914	9597225	9220704	8102662	8999843	6515857	9143332	7079419	6971679	6612499	5475037	6822570	6458182	6767232	5890133	6325633	5792196	7929747	7829827	15523497	15970985	16363245	2309281	16905186	15905910	10059121	11295154	14790545	6117427	13882270	12692667	9196981	9251055	9575869	9226888	11429090	8262843	11433177	9032011	14410728	13665216	18045108	15008581
"4-hydroxy-nonenal-glutathione"	46463	55466	68257	59974	49280	49684	71625	65139	79192	56615	51268	56768	59103	83552	57156	67317	52900	66505	64135	71526	62689	64596	60995	70756	52376	72631	63764	63415	64079	72185	71845	76548	55169	30604	60375	64718	65971	81664	66074	49047	56634	80014	58330	69785	59383	61571	57092	52561	62987	88236	62106	83525	83998	75140
"4-hydroxyglutamate"	NA	55744	41166	NA	31556	NA	NA	55735	28558	35070	33987	26017	93518	136296	NA	109843	85862	120846	83446	56297	44804	58828	41337	NA	94299	18410	99445	60997	53515	78361	NA	92994	160956	NA	66667	113402	129582	133123	64123	59009	78007	78905	102285	NA	39805	103413	NA	27963	98658	NA	148641	96444	91923	147440
"4-imidazoleacetate"	648386	860802	798252	638563	580116	583023	859585	910932	896728	722454	892553	741802	748528	818756	583936	872246	602255	781598	826206	731177	638074	623601	626200	855423	880349	635867	857854	700529	1062257	1172381	368297	531453	688631	170692	475810	604395	598951	766070	488951	360504	488455	575732	682625	614249	477801	703300	681274	591143	514782	371787	611891	480953	433478	524714
"4-methyl-2-oxopentanoate"	426040	278862	333307	361522	NA	320814	678353	296012	1706196	665813	502227	NA	821668	536600	349879	854483	466579	585428	650799	448443	304811	448500	NA	380046	605677	NA	288731	564097	404917	NA	1006454	945465	754085	437994	733457	651873	566456	458771	714967	651163	919024	836123	538634	428212	571811	579428	400834	420577	913099	878061	1192285	1113933	1201667	1192456
"5-aminovalerate"	NA	8548778	8206345	NA	10081220	5681654	7575588	7835690	9139441	NA	NA	8682022	13429301	13971842	11545589	17872800	15442774	15425130	10990132	12262693	7823399	9804535	9580434	13912773	12717486	11645774	11347577	3559485	9238575	13624079	10631210	8304714	15887416	NA	9726391	13277192	12824878	14995822	8932342	NA	14724215	11875900	10457020	13246163	10521746	14389411	6386911	NA	10219600	6750036	11518210	7219520	8411258	9287473
"5-hydroxyindoleacetate"	74465	153118	144116	95570	134293	133441	161169	173873	181221	104248	167797	118332	NA	89870	77317	58689	NA	38618	81922	NA	47493	54552	107373	126957	81489	71331	NA	57313	137048	253250	85274	63045	57089	20742	NA	NA	90113	55907	70431	39922	71292	NA	149823	136578	NA	114244	189257	197657	132618	87241	NA	155693	173385	121377
"5-methylthioadenosine (MTA)"	5262727	9391249	8754312	4952443	5341960	5178332	8997911	11698012	9134376	5441665	6928520	4629489	14208478	17929484	7240679	15960749	10166543	20000680	9133398	9479388	6042693	6100964	6461749	7402882	14128272	6696309	9098182	6689850	9256031	10436074	12515458	13638824	31658698	3058148	14741776	20162368	15760244	20235142	10713032	6049592	14915627	11774593	13546494	11592159	7028382	13052362	8830795	6407739	15448145	11586544	35730168	19985004	21763124	31707862
"5-oxoproline"	23763340	20040062	18093288	21571768	19687200	16566351	26265926	21825572	19088400	24593506	29364140	21423704	26623710	24422692	28585646	26789714	24065598	28447244	25344406	26680454	18861680	21191376	23211160	20366384	26245482	26118506	22721444	25717370	24746640	22404308	39644584	38601760	41869352	9907783	37741932	44968540	30841338	31941708	39131932	20380498	36334080	42587160	26104460	21761154	24020668	23389528	26054860	18926644	41633120	38369728	52128128	49457972	53449612	53742280
"5-phosphoribosyl diphosphate (PRPP)"	15609	28204	NA	NA	NA	NA	NA	31068	NA	NA	NA	NA	52657	76785	73097	40095	89720	96719	26828	24019	38370	56480	31735	41425	24678	23240	NA	26613	34146	43725	216240	216747	130603	NA	136325	133242	190096	241824	206990	172255	119107	196698	89586	111332	120335	84426	74259	117582	146698	268677	174907	179165	180844	231564
"6-oxopiperidine-2-carboxylic acid"	NA	640711	NA	NA	NA	NA	NA	355668	689298	NA	114272	NA	588975	NA	NA	221276	139062	566192	314213	NA	NA	NA	NA	NA	442120	NA	NA	NA	NA	609553	434213	NA	462104	114576	NA	656510	1070648	299378	558400	NA	741575	1275664	NA	823357	NA	405837	NA	608965	1365683	266565	945445	764959	NA	1011694
"6-phosphogluconate"	578039	312650	705115	729250	1418084	1445151	572198	256222	551474	602577	1753072	1650032	715145	764576	990779	1128160	539306	594444	643666	707622	549953	573074	552477	560993	609468	659906	579909	585628	662264	630256	804119	931089	1111543	334894	1238409	1304073	771371	881136	663039	428781	960474	1059511	727762	672192	641672	590145	719930	745428	698665	681955	1153268	1142846	1630114	1643620
"acetyl CoA"	17140	17289	NA	24890	NA	NA	NA	32773	42601	32414	33006	12219	NA	NA	14499	NA	NA	NA	NA	NA	33598	38069	16929	25652	28142	18079	30685	27023	14357	30843	NA	NA	28077	21767	11335	16885	NA	NA	14741	25426	NA	23248	30219	30040	NA	NA	16313	33917	NA	NA	25150	28373	16095	33667
"acetylcarnitine"	18790728	35082972	22483588	17788684	12263197	12871848	32406796	42241460	27747452	20155560	12891267	12197212	52701344	70976856	37368396	65764436	42567304	68429360	40609784	30854620	33044502	22702844	20003074	26880974	60310868	26248804	43165056	29693214	29632988	56629668	62136156	69758760	95100440	11239156	56650216	74446632	50032536	60690920	40437352	22400946	40473448	41011412	43684684	32665196	32098602	43740988	21947504	26038582	96077120	58144292	179653680	126626688	108935056	136755568
"aconitate [cis or trans]"	3066784	3273084	2810376	2907202	3847784	3559434	3255016	3242578	2663810	2678340	3635858	3888912	6449229	7005459	5812094	5796326	5271469	6405768	3697110	4255923	4232109	3789008	4333750	4392204	3640609	4001252	3217736	3075530	4032435	4333558	12771100	12217912	10406370	2534159	9353352	10412838	7592332	8694723	9609984	5304049	7886795	9086168	6476402	6092943	5550620	5428775	5253414	5515191	9409303	9369925	11882243	11369585	12982246	12114956
"adenine"	6401870	10505651	7302018	6767526	9253940	6616053	7988434	9518882	8632765	5681156	8331253	6369948	12579862	7422789	5174778	10843184	11828689	7826900	9072141	11591276	8080446	10213237	6676032	8167764	11506878	8548121	7591577	6929301	10737184	6640178	3707682	5153917	14116783	2526204	10917781	11896845	5670887	11140687	4446085	6078299	12253516	4921267	6514362	5895391	4280272	9838874	8918192	3189224	27945240	4449919	11963503	13949218	20170754	9368517
"adenosine"	2790264	3973956	3561998	3249801	2973509	2577249	4005535	9983026	5396331	3266939	2547306	2322421	11814868	12935224	4250251	8937994	10866623	13304372	5447105	4503696	6022529	6768229	5264803	5747273	11129642	5464073	8820923	5137655	6989088	10200134	11452741	10064336	27354076	1733882	11023131	9635864	9483624	9508531	11825282	3726240	10488939	8822231	12303468	8127851	9061176	10427092	10253708	7254458	18212548	5359173	25041546	21201808	26014752	25051890
"adenosine 3',5'-cyclic monophosphate (cAMP)"	75021	56947	74774	46756	NA	NA	93920	55307	96846	85618	23946	49657	296919	307103	107566	74591	105349	73596	101206	76244	79763	79933	88528	99881	61485	88272	98830	99580	107506	116990	238781	258553	152613	NA	134426	146001	167839	186316	206051	106942	168572	213236	138702	169832	119699	130370	102571	93849	347090	387912	188514	229649	223484	234511
"adenosine 5'-diphosphate (ADP)"	5637716	5647760	5703435	5130769	4766060	5771885	5525162	5253173	6339800	5642315	3994161	6027425	10383161	9796032	10461605	9208003	9115177	9782185	8934295	7428083	8443961	6766879	7636366	7922489	7480327	8172605	8421889	8447344	7015913	8655251	10866577	10603517	10302939	2597464	10360562	11839420	8357612	9002433	10718954	5911413	9449825	11692549	6792050	6259554	8930636	6407964	5691558	6543049	12451413	11088731	13277679	12430857	13020196	14716287
"adenosine 5'-diphosphoribose (ADP-ribose)"	68001	151505	110429	87697	114012	124176	66566	112234	125154	57073	64269	132476	88880	165706	190855	122139	127415	200281	104293	160295	155112	94924	130343	150037	92740	113484	154776	63911	158660	133727	192454	217671	264129	38796	206978	353381	150354	241392	325963	91510	200722	274327	114389	190026	209786	146094	194952	226873	189364	226354	399287	191226	307384	361670
"adenosine 5'-monophosphate (AMP)"	762918	1168424	1125136	773436	786630	1088659	695603	1042864	1235195	850922	555787	1176659	1603587	1854811	1831721	1442707	1492911	1687804	1320297	1307313	1750952	972275	1334201	1419950	1287073	1444008	1746417	1280438	1397974	1888071	1734238	1845797	1596347	317948	1726317	1731030	1333195	1754736	1715535	899013	1517385	2001230	1066822	1193693	1680012	1118910	980626	1426962	1914371	1966420	2223265	1851197	2140080	2424193
"AICA ribonucleotide"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143559	124657	412045	52518	136797	213499	453900	413034	229515	124510	292497	358542	349169	235867	139036	236634	129736	101692	288258	160310	232058	231960	247546	523424
"alanine"	4301699	10758544	8763310	4400153	8184270	7732976	9329298	11332446	8513842	5340743	8657955	4792682	12044124	13061963	9943197	13791787	16944588	15917022	9288814	NA	7401146	9015616	7267886	7499800	9473983	7166703	8716279	5456135	7402552	10159706	10922395	11630022	19822316	3828523	12053592	17225168	13282773	14319027	12381628	11967712	17936092	14424741	11739389	9913802	11522983	10684170	10369820	9945454	23321496	13120353	30508384	26424042	26120962	30239888
"alanylleucine"	NA	262099	NA	396322	281223	34976	820976	67795	3233328	NA	343478	NA	116953	41895	NA	469257	260681	3081665	49912	NA	57572	61078	236194	1300959	49305	196701	913893	104694	823546	NA	42442	293191	935018	NA	88908	NA	132494	357930	81688	86658	NA	NA	1978339	50453	1381626	266490	757559	NA	80038	170307	NA	85609	1602535	239955
"allantoin"	1446687	1032048	991202	1293584	1008051	1073175	1321631	837029	928479	1172047	1654764	1036679	2223642	1754333	1730443	2053401	1644257	1657797	1590906	2115684	1412763	1353182	1438629	1250428	1447592	1511899	1376572	1463321	1433022	1311149	2682579	2559248	2791983	633416	2723342	2959946	2091221	2069104	2658427	1286374	3109717	2823466	2140337	1578967	1738387	1876451	1718231	1419087	3672692	2877414	3039831	4351021	3908939	3184611
"alpha-ketoglutarate"	24655580	25234158	17796438	21292542	19652930	20007572	23012108	19555540	17073276	19354314	20112524	19366302	46240928	45740664	32985662	39399628	35359912	42072880	27749820	34595480	27993652	25585956	30162352	30096976	25122084	28995792	23223984	24376492	29024032	27646148	111802832	111667192	79854544	15876432	70694560	91151928	61384320	63679108	97116344	44101804	84125584	95701008	71919152	57594508	49345496	46779508	46999456	46977452	116218272	107469648	135175040	167803904	173186720	154585472
"arabitol/xylitol"	194435	114306	150209	226401	214834	NA	157933	194785	231085	180981	175899	126819	217103	250300	NA	270392	167594	252512	213898	218579	211000	302588	179472	250384	198683	244270	209793	212670	236539	NA	305496	351459	358918	52224	295109	394341	226637	221347	318312	227294	265156	424521	262519	268540	274658	228505	266778	278456	348897	360312	423055	544940	626979	NA
"arabonate/xylonate"	488059	260305	NA	NA	NA	210656	362544	NA	230318	NA	NA	NA	383029	NA	NA	795173	195507	NA	256264	715051	NA	161074	NA	NA	593143	302890	NA	NA	973623	341169	NA	364701	773710	NA	354758	278620	533050	NA	522819	NA	557374	609707	450329	257030	NA	348197	458380	NA	1116103	NA	435593	364061	368370	439387
"arachidonate (20:4n6)"	1735188	3244961	2873211	2634841	2321642	3497709	2080990	2874012	3349862	2034505	1486570	2023692	4823462	6098769	5066317	3613052	4039076	2406494	3804660	4800250	4992155	3748138	3657535	4540477	3602253	4468890	5368983	3031209	5427168	5672526	1612176	2670279	2389544	680598	2680545	2786292	2357040	3136362	2885342	1355352	2678384	3605233	1564588	2601589	2800181	2435757	2939111	4415306	2850177	2322451	2632953	2124875	2675855	2447033
"arginine"	76501104	61967592	87453320	64343524	67191304	63564528	95566080	65893168	95220176	68834480	165197664	65064072	92736928	99393056	118499904	125375136	62178024	97776480	101402200	81885072	61611144	44239328	56726984	55131284	115363712	92241504	93053104	73224104	69359912	92324200	134616896	131879128	170695440	26269130	186572096	180489840	99068648	108084048	111042888	46191684	137609600	140115744	82413040	75479728	62420976	80357232	73431904	65030960	177624864	150648752	245037296	192456720	237210368	222997008
"argininosuccinate"	141638	212091	203094	160627	117571	110202	281518	282266	236675	197488	180922	125841	465887	574015	313810	682578	332166	581850	266419	214923	178744	159635	183571	186663	497547	186487	259173	234672	226912	393334	513593	533246	1162878	158212	598419	749441	539490	658025	372943	267198	534303	523410	422605	269183	175284	332407	186668	198085	889274	391846	1573850	986449	927505	1704842
