"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"10uM_48h"	"10uM_48h.1"	"10uM_48h.2"	"10uM_48h.3"	"10uM_48h.4"	"10uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	791287	698657	685192	789492	770739	1016905	695368	852601	1156517	1580977	1009691	1063992	1049438	1340075	1076692	2000932	943683	1264060	1088514	1302223	1158719	1453308	1036569	1278249	738620	1063978	795038	1283720	1451302	1420248	724773	1561845	538155	124060	933047	1208386	1224503	1360930	925999	742262	674501	1204251	921030	1112588	803642	920755	651312	1054300	678177	796875	564426	750327	521004	458642	663430	1065542	528211	789798	922489	1012077
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	4871144	3747827	3799789	5015413	5648325	5942098	2932070	3593232	4114958	6284727	3779852	4123286	3318214	5033302	4143789	7552826	4297549	4904442	3654539	4973363	4950427	5933000	4518319	5238162	2747416	4568822	2469749	5073406	6032959	5744015	3985561	7862551	3519197	1065298	4458959	6523325	5914837	5979396	4602399	3914256	3466865	6855345	4307624	6079739	3991038	5081594	2924435	5636763	3455240	5483074	2804782	4393541	2803865	2720026	3982020	5532888	4036707	6475653	7261911	7288972
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	91321	45001	NA	45536	92322	NA	NA	45700	83804	108904	51258	73586	57298	77098	107961	103601	56096	81444	90670	110685	99205	88546	81669	77145	83783	91533	55810	62442	140247	NA	110116	238689	70784	NA	166146	205737	134915	129812	136812	100843	99890	226062	99130	137447	NA	76257	73957	109839	75928	90953	48562	71652	NA	NA	169891	240611	147770	161532	172599	240352
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	738820	591309	517339	805725	735851	853516	292515	496707	519218	815255	411928	492795	394748	565791	537513	936831	465140	623978	588677	770627	560181	820490	626657	731347	389230	713409	304743	616681	933294	881581	789392	1610535	521659	155360	930952	1376395	886851	893677	841386	773307	629550	1291130	882273	1086582	603415	715810	467808	1015062	522351	940178	413854	545475	365759	439150	993579	1499633	901993	1490745	1868802	2100546
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	476660	411977	390697	734157	562747	713909	385872	516419	425838	709489	271648	451151	240660	373730	681035	890661	541393	535274	362189	504124	302100	562046	536086	515631	315647	492634	199623	433306	772580	911673	624396	1027737	459471	116582	580076	887339	504767	529421	611093	408865	439566	845614	533995	575884	297693	516863	298267	523835	341287	587262	246511	349318	280073	260970	449591	615676	695884	897630	1100293	1185163
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	307539	275813	212012	311776	351761	338507	180919	239827	296490	440609	241204	327679	287730	296139	294000	464039	281476	335228	325151	373261	428763	476213	364926	357880	242600	377003	208899	375948	557604	505894	391918	829992	255458	NA	590345	623098	454592	476088	553206	354921	413937	793294	434668	602071	441692	454075	287589	506715	293113	509365	283981	366576	258190	276860	549754	784203	450177	810658	923976	929525
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	276329	152529	165890	312866	258386	323817	121976	231874	225628	480878	176381	237970	171134	266965	278308	549971	230743	308509	216035	341119	243940	425602	261589	332545	168405	304190	124697	306996	484442	469243	420722	854177	289045	93706	507638	789967	551558	552479	433475	468492	341979	859960	429142	541773	218689	430046	242090	580840	364882	650670	212781	340415	218052	246556	492496	727250	388142	673363	771038	901015
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	159351	320512	301304	288990	258564	348238	389508	504073	409639	474269	389617	516740	99286	139757	534021	155117	550787	471438	302339	392782	333138	379904	259542	435642	301437	394136	352134	202291	463099	512256	1053860	936880	900702	132094	1023235	1310101	562947	613059	1240300	624719	919582	1196147	407336	494347	576081	420727	478998	488077	139437	410474	400030	324551	261359	362399	878722	1111559	1823124	1590024	2063794	1882103
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	6898112	4751002	5552661	9039435	7185648	10677958	6106364	6749751	6051189	11213360	5648831	6583967	5301503	6972103	6252238	13017813	8014727	9203700	6182768	7697733	6724523	9914981	7390751	8575645	4459631	7362051	4171715	7764234	11642613	11304149	8448459	15796716	6712476	2024294	9468253	12898741	10601532	9469308	7883064	7743133	7125366	13710888	8462794	11142602	6328091	9394205	6946571	12000409	5442169	11508956	5069904	6786498	5401445	4877287	7781112	9823357	8586119	11549556	12658652	14126596
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	80232	NA	NA	NA	NA	140234	173734	NA	NA	NA	NA	NA	NA	NA	24929	NA	91932	NA	61983	105729	185352	129780	228397	NA	NA	57399	206753	NA	NA	91995	NA	NA	137354	NA	103525	NA	47015	NA	NA	NA	144620	NA	NA	NA	7108	NA	71225	NA	177806	249872	194790
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	451443	295658	261385	578840	413810	519841	410678	444382	388353	645084	302103	439287	169589	320903	NA	734334	519678	604560	332024	546391	320523	486216	414301	397634	302673	522384	209937	450316	691744	784134	798027	1298705	515804	128692	791111	909945	640424	555812	646299	537739	512809	1111354	496439	603073	241025	384097	386430	616022	236358	476848	204402	352594	242617	157424	575400	392829	884724	1304281	1231500	1248784
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	288974	357490	284214	349547	300924	394742	668551	685866	695471	806113	890462	735502	697813	459744	657125	809069	827006	723010	694847	704612	527402	801362	631436	340080	626625	638318	480068	705218	921078	556460	1509368	2026831	1527806	307335	1849600	1817393	1028423	925555	2041045	1184361	2308075	2358330	1044771	986073	1275133	945434	1012193	832374	860560	802105	719471	727319	522947	510690	1399071	1831692	2284613	3164851	3426203	2548659
"1-arachidonoyl-GPA (20:4)"	50213	NA	103305	75733	60168	50365	297014	328629	256108	213133	160200	191345	115537	127241	301077	122108	213670	243794	160624	150272	122568	142679	107763	141957	164442	265132	191828	84067	215446	194730	71396	108230	NA	57155	NA	70098	135030	75932	67544	109049	NA	76405	NA	68432	NA	70029	65099	68231	NA	126188	88164	65095	57630	107605	68334	63351	63070	NA	66989	66594
"1-arachidonoyl-GPC (20:4n6)*"	763520	724311	737524	810778	564490	628605	1116155	1016370	889245	730449	790620	650172	876572	686693	724258	936274	798058	989699	769511	918543	729472	560529	816255	777852	650306	1047169	851198	940270	938387	851627	353171	535406	319098	57862	428030	416157	446402	439816	446286	160004	317679	388082	377141	473522	430467	376528	432204	444229	328728	496433	455583	409411	413898	465660	248864	382905	337229	282053	359225	393130
"1-arachidonoyl-GPE (20:4n6)*"	1532678	1503345	2106346	1782513	1476699	2376228	8571170	7671175	5105489	4376659	5473974	4282125	6387164	4336045	5338681	6209680	5813238	6445276	5159320	5412529	3923801	3856562	2975028	3496562	4275262	4916915	4843760	5273136	3827437	3598499	1865058	2239307	1745945	430053	2502346	2187640	2322483	2676940	2496346	1136679	2360646	2978147	1452440	1580010	1813004	1497231	2269326	3016333	1118759	2048532	2299674	1838987	2048214	2228737	2489785	1265258	1678695	1720406	1497187	1840103
"1-arachidonoyl-GPI (20:4)*"	NA	70799	NA	NA	77481	101830	NA	73868	79390	51647	66638	93889	NA	NA	86406	NA	75917	66692	102167	NA	145380	88599	131712	189946	188446	201508	258302	99995	214098	312782	193332	181823	154832	NA	136134	225382	122116	104713	183045	105177	130872	179969	249885	253888	262134	237101	285971	253254	156783	313080	337117	309023	185902	288002	191548	186148	344646	294876	316401	314674
"1-arachidonylglycerol (20:4)"	573566	664514	847920	523083	472669	756384	943616	928623	1357577	506123	480053	1464017	643057	211256	1382892	721362	872097	1171565	567942	883024	977611	728052	894412	1221948	461659	1064724	1147869	579823	744336	1021532	NA	276129	372452	NA	309417	1006050	270070	531358	706482	NA	383642	NA	266667	764014	583043	228406	337578	614988	NA	906856	504142	315716	309356	863192	239847	312685	451621	616448	346345	405349
"1-dihomo-linolenylglycerol (20:3)"	NA	197540	252489	209978	169650	199478	299218	218536	243673	207315	120902	220520	406570	NA	171148	284802	87822	226368	268834	165860	210813	108338	NA	238536	132078	113940	243602	442761	194216	306536	146656	153188	129704	58739	107056	204962	NA	97600	204587	228354	76323	182954	197790	100144	129256	103880	73095	195491	NA	142722	177852	137843	70658	159332	NA	125711	133394	304202	149076	200683
"1-docosahexaenoylglycerol (22:6)"	90742	168154	201698	144576	115851	193575	212553	331657	370275	148602	122692	372569	NA	NA	337097	209234	281490	399725	98496	343078	277362	61956	198657	443059	173844	231658	384951	165259	232996	400327	NA	NA	90538	NA	114188	312237	NA	107794	235787	NA	107452	254859	NA	117791	128111	NA	108252	224924	155261	NA	271102	68006	NA	163626	87332	132083	141180	NA	98621	168514
"1-lignoceroyl-GPC (24:0)"	NA	NA	NA	31728	22049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45139	50684	NA	55531	54945	NA	NA	67765	19572	63152	80524	72445	67396	53157	NA	NA	55222	57245	NA	NA	49649	35835	41254	79829	109527	136529	90444	87945	92173	109993	163520	203082	134028	140464	92212	132428	94683	109082	87704	173278	205884	170837
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	999583	1037587	1140805	1162112	1007780	1398977	714867	795219	914358	1106213	850949	1007699	1131568	687859	897130	1154356	758840	918733	1012566	1095428	1066661	1176651	802525	733777	581772	753021	476716	840437	1083262	796878	581009	800153	491257	119949	575510	833609	725368	736637	657920	674478	672366	610948	630582	540113	601599	524016	427529	664661	270812	425538	473589	389295	323719	393797	703668	734811	455131	589612	555742	452044
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*"	58450	55759	62321	58814	64266	58299	23230	33247	39416	74820	53367	30546	41958	66838	47599	143567	44438	52995	30035	55684	61110	59821	57196	67320	38706	41813	10675	73680	90269	63857	77682	126040	29221	7259	67413	56654	92421	51665	100737	55638	48659	102614	60144	93112	75134	68728	36459	86772	35330	72597	57385	21245	33317	23743	92721	117318	38240	76869	89725	67633
"1-linoleoyl-GPC (18:2)"	236699	227019	148456	187407	205261	213494	229819	218718	185347	207632	147440	200718	163624	135082	217223	200975	155134	215903	235730	227811	144659	227655	226933	164779	211299	304266	252055	231636	181427	287548	232560	115030	197165	NA	293719	229961	184478	172934	209260	151217	162627	227769	211651	219086	241298	220702	218363	290812	196066	259066	230756	167583	176176	194092	184226	268982	283339	342188	354786	364682
"1-linoleoyl-GPE (18:2)*"	NA	55560	NA	NA	NA	NA	252252	229928	68843	86564	89245	103939	NA	NA	190869	58765	120840	120718	90133	135823	82677	86761	NA	86139	83216	177770	149258	65032	128035	119721	76517	NA	NA	NA	NA	78787	NA	52253	NA	NA	NA	97241	NA	NA	NA	NA	67102	71841	NA	NA	NA	NA	NA	47684	53027	NA	109445	99442	81264	88388
"1-linoleoylglycerol (18:2)"	222300	1594675	450458	1583812	773275	1278460	NA	323110	NA	NA	NA	NA	1518609	NA	311469	2926037	2040519	248623	NA	1112959	1431769	NA	1534544	364805	NA	189993	NA	NA	349682	296413	232068	NA	NA	1303219	2108606	333142	1206442	1727861	1094709	1275564	480441	NA	317124	1078341	1178223	442316	1307191	1358400	329388	512832	512834	NA	2186270	328654	1636200	NA	2082881	1119042	428938	1719891
"1-methylhistidine"	746843	915896	926140	653242	678946	512393	1553099	1893324	1430351	2148700	961329	2224758	601818	961362	1712894	931128	1967153	1036177	1245951	913985	778834	640752	774280	755604	1581234	864254	1171169	791683	953903	1338321	1856902	1715675	3427428	331874	2775313	2412016	1722908	2038684	1646330	584374	1466384	1699534	1511163	1118681	1116213	1671816	1126898	912061	1321414	950413	778747	839545	1120804	914449	2923128	2091245	5289534	3588320	4458674	5400354
"1-methylimidazoleacetate"	61665	64636	150780	47272	105020	44622	135088	152099	61697	154595	NA	160194	88193	120004	184777	23564	199963	64300	126631	90355	92020	NA	55459	139922	161743	88752	143361	NA	104804	150394	107980	74276	195757	NA	81429	82735	112464	156288	108054	62779	123460	124940	171698	64286	75915	166795	45322	NA	145652	40804	NA	58890	118205	104316	178925	70303	231638	41415	134396	237608
"1-methylnicotinamide"	115058112	152112240	141948912	127946928	115635032	126655976	152277312	157537504	139450224	154320848	138967248	162247456	89914000	113677000	151671072	112168224	166783008	152453936	155811232	149718432	125453680	103498560	124904488	139331040	181305088	166072032	181003600	133685832	163752224	185612832	148125040	186195936	195791712	55435024	207768928	181157024	139592240	145391568	195669392	109911112	163818112	159270944	151830112	160332896	152910624	158410960	152536768	142984608	153625280	157413584	127347888	113136216	142945104	143413248	186364720	163960384	225284672	176367296	220026608	206592784
"1-myristoylglycerol (14:0)"	NA	522820	313913	752202	615980	413828	580138	NA	810146	694802	489558	1906118	856810	413678	372437	1421549	1678486	522451	699368	NA	487656	NA	1174581	712342	541398	NA	485162	554314	497012	605224	698708	676758	812572	NA	456544	NA	384518	533223	544534	1226993	474611	687692	1236658	467456	590451	664878	697435	547613	908298	609988	714587	514819	1951163	730188	329468	825455	486254	484455	1093762	832718
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	7442983	6239278	6254093	6917554	6612088	8101222	6242886	6941467	8827586	10956123	7530610	7763599	6834643	7520160	7797308	12419671	7045949	8457481	8117065	9771126	8756241	9475065	7952936	9285614	5564495	8718110	6377362	8600699	10645324	10801772	8960953	15168484	6531261	1834982	10809022	12213426	10885571	11861356	10464128	7291184	8190924	13713904	9824359	11538445	7517885	9108804	6806940	10184198	6039621	7552275	6082768	5779626	5468675	4900781	10350441	13656460	8576311	11093394	14155306	14931358
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	600283	488355	492583	654962	737839	824155	424957	580990	624953	827781	553766	517120	543451	638423	582781	1031400	625633	767777	545568	732228	659636	797284	637360	743535	359989	648315	278470	605291	717229	789173	527733	1143887	473254	118388	637452	968963	1071636	965245	768849	694343	567063	1046421	657257	910246	615538	727449	442206	974873	498485	776034	393324	585079	511392	450714	782269	1015176	617503	1113389	959662	958032
"1-oleoyl-GPC (18:1)"	2386599	2497531	2257748	2397163	2158172	2206226	2124771	2246218	2057978	2340715	2180271	1839027	1872959	1752583	1907935	2345326	1998890	2341851	2587130	2962760	2076540	2016369	2084391	2118411	2445561	2888450	2383685	2921504	3165220	2720620	2705543	3907617	2586610	587976	3428420	3442638	1947969	2174702	3181849	1907333	3220983	3707744	2425157	2635920	2800425	2330080	2342697	2842064	2483290	2841408	2686051	2432554	2097116	2154847	3478904	3409737	4217106	5367340	5406462	4927397
"1-oleoyl-GPE (18:1)"	414791	383717	422416	466060	322928	458640	1332810	1248132	878364	863499	941800	699728	994003	693597	761709	973118	943624	1017764	785227	899599	621429	681011	636595	634512	724892	969865	883156	984246	826790	653831	799593	789773	690659	121012	730531	800579	536071	531608	741437	461323	800187	848475	394646	449546	438400	450650	462617	560491	334371	484633	521800	425924	419107	429966	709345	555699	825431	952541	971789	858972
"1-oleoyl-GPI (18:1)*"	NA	126173	148103	106914	82388	128602	85399	78068	72210	75948	56551	123153	NA	NA	112706	NA	125503	108030	180786	206005	187275	143663	255677	334865	310275	364029	391141	91093	357688	489410	369047	273861	241832	NA	280608	363062	175951	149749	322687	149577	225678	260227	563125	603495	473803	520771	581864	497758	333255	792020	880419	600804	467912	641198	449993	341023	1056069	718987	1205948	990196
"1-oleoyl-GPS (18:1)"	185011	298597	207452	187370	196615	250070	244472	353747	232192	222907	262097	349701	55034	NA	335270	114724	249604	352038	262753	316489	404888	282421	363644	522466	423919	464688	438614	298642	574272	571472	566592	494990	518129	NA	476577	638116	349725	355074	497550	227658	395199	503066	600432	653137	354380	474288	683409	551917	357435	545991	651161	517860	391875	500517	655967	540939	1018832	978805	1387094	1218047
"1-palmitoleoyl-GPC (16:1)*"	243825	258014	210972	293640	245067	351070	338159	322413	313587	323826	284610	231559	272285	197190	280910	287854	228488	303818	342061	330427	314160	304661	227301	304434	295403	368431	325718	416013	446333	388726	308986	408241	304885	41169	414773	378491	176493	272518	337581	202407	389813	452827	289190	328062	195903	267093	319213	284355	193434	370806	309014	299821	242127	215674	429275	383473	428860	468562	633913	589503
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"	12876954	16564823	15445151	15077699	17005746	19964356	10575455	12817485	16565801	19356932	11636093	13196378	17179970	18328928	11673771	23869580	12396179	18063732	16962242	20163340	20324316	21642544	16504877	14486651	12043352	20541792	11857306	19687744	22323568	19242260	10019120	19878552	9265452	3039404	14301237	17988908	15023032	15354681	15227843	10378553	10166143	19967372	12404493	14085174	15058205	12588606	10222238	13595742	8759581	11427444	9209337	10634518	8463400	8604302	13539704	16643262	8522917	14230782	15156722	15426664
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*"	529872	327102	422287	566827	531719	674636	279827	429700	457060	717043	421219	466279	522240	595627	509215	786777	355345	616608	344939	502572	590967	668133	458734	515724	251568	428353	248276	386418	616095	568903	435936	918596	385789	110651	644311	722022	780671	804412	584172	460898	386589	950530	390834	456999	418481	512761	274114	561139	334459	517773	262712	381138	250861	272464	673471	888782	482396	638575	680735	997104
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*"	199735	183096	147126	268324	167463	242186	NA	107005	141318	166195	86035	195208	108747	190877	177701	217040	160556	202064	185249	NA	149368	195612	152790	217233	140946	175247	140026	155664	211775	219980	93140	248047	88257	NA	154160	263252	202725	185280	115633	134825	144606	206083	218034	181478	148349	207284	136739	230355	116747	180239	113077	142064	122199	145224	225708	174845	163230	178009	141597	230970
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	18616732	15299517	15629047	17800226	17850008	19692794	14080171	16762776	19915888	25124760	17438138	17830812	16522103	17831412	18981354	28883174	16326756	21383420	19645186	23485092	20750216	22977426	19012638	22134668	14159451	22268824	16651546	22145956	25966672	25529832	21454816	37643208	15907209	4622030	26467592	29888252	25335768	27695110	25038090	18164814	20748568	33377758	22702596	26219740	18816716	20439866	19044532	24427136	16377403	19740454	15568560	15257430	13747778	12815025	27129092	33477288	23786212	38811904	40198768	42052848
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	444560	499125	487228	359655	438830	721451	415893	296682	343460	581780	458487	335951	309642	535764	513791	765426	489112	383657	395880	274781	309998	425770	252199	501522	245442	227287	145163	262917	488224	331109	303861	637829	370052	81792	356710	750419	609084	724914	385963	454089	269426	838136	244774	377598	374681	250517	229007	519538	186599	251152	53054	302622	174000	192367	336451	403982	473432	765489	559222	1024402
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	87720432	79385184	80727872	98218384	86890424	106451672	58315816	82156760	92473384	123030768	63345656	90698296	70716560	85852816	88331408	148586336	83544032	98239192	94863328	107213760	96429408	114284560	89608072	97913640	62652160	108047664	62783616	87311560	134601248	140457664	101970648	196163920	75794488	26669802	131384136	169639408	123012360	142675760	130378312	93474752	85474712	175737984	119055656	135585920	87797072	117292392	70479376	140324112	79299000	128223800	67669672	77382624	68965072	69474464	141847552	203014112	121324400	160146208	206536960	242926240
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	1461866	985927	1214896	1857376	1331169	2178816	947391	1161173	1282941	1867280	878334	1103826	946042	1378893	1158416	2340982	1310949	1587311	941899	1130105	1087544	1546522	1153152	1318985	629980	1198575	611000	1082564	1608339	1846907	1326055	2364869	969250	319656	1409253	1968572	1198404	1594097	1490726	1139246	1095301	2237542	938016	1319474	750778	1135611	715105	1298375	626083	1301929	577468	790181	588094	620558	1416198	1914922	1399013	1978890	2209656	2419102
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)"	886028	553149	204589	680582	385026	694243	451239	702415	622744	1091401	428787	816964	379796	817062	866801	1126864	944155	841053	586939	767452	467654	685175	524251	818965	NA	256334	NA	289069	662738	811691	841940	1627078	933685	188256	1035857	1656083	898438	1128650	982013	801198	847703	1442619	835043	675584	303696	786357	290478	854480	399228	582672	NA	NA	NA	NA	1362844	1496630	1108267	2000278	1850259	2223452
"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)"	521640	441628	407834	614608	416985	615340	237455	410040	336732	529673	232774	415427	313963	435739	411659	572627	437703	395888	335515	403452	378727	418818	395214	465227	296848	391163	355054	359910	510298	536902	390294	662552	354783	84685	400398	570376	435647	390347	406843	308264	364693	534176	374960	363179	264591	441055	285168	468871	265921	382836	269041	288533	248669	269567	541368	602495	478050	695509	734966	836464
